Id_INVAS_COMPLETO,Grupo,Orden filogenetico,familia,Nombre cientifico,Ambiente,Origen,Presencia,Estatus,Ficha,Instrumento legal,Enciclovida 2020,enciclovida_id
1807INVAS,Plantas,4,Phyllanthaceae,Breynia disticha,Terrestre,Exótica,Presente,,,,,148522
1819INVAS,Plantas,4,Crassulaceae,Kalanchoe pinnata,Terrestre,Exótica,Presente,Invasora,,Lista oficial invasoras México,,153329
1861INVAS,Plantas,4,Araceae,Caladium bicolor,Terrestre,Exótica,Presente,,,,,156384
1890INVAS,Plantas,4,Annonaceae,Cananga odorata,Terrestre,Exótica,Presente,,,,,162781
1894INVAS,Virus y bacterias,3,Rhizobiaceae,Liberibacter,Terrestre,Exótica,Presente,,,,,
1931INVAS,Plantas,4,Asteraceae,Carduus hamulosus hamulosus,Terrestre,Exótica,Ausente,Invasora,X,,,
1938INVAS,Peces,16,Catostomidae,Carpiodes cyprinus,Dulceacuícola,Exótica,Presente,,,,,294930
1971INVAS,Plantas,4,Amaranthaceae,Celosia argentea,Terrestre,Exótica,Presente,,,,,168252
2017INVAS,Plantas,4,Fabaceae,Cicer arietinum,Terrestre,Exótica,Presente,,,,,185579
2036INVAS,Peces,16,Cichlidae,Mayaheros urophthalmus,Dulceacuícola,Nativa,Presente,Invasora,X,,,213410
2048INVAS,Plantas,4,Cucurbitaceae,Citrullus lanatus,Terrestre,Exótica,Presente confinada,,,,,154138
2051INVAS,Plantas,4,Rutaceae,Citrus limon,Terrestre,Exótica,Presente,,,,,
2052INVAS,Plantas,4,Rutaceae,Citrus medica,Terrestre,Exótica,Presente,,,,,170944
2053INVAS,Plantas,4,Rutaceae,Citrus paradisi,Terrestre,Exótica,Presente,,,,,
2058INVAS,Peces,16,Clariidae,Clarias fuscus,Dulceacuícola,Exótica,Ausente,,,,,
2067INVAS,Plantas,4,Lamiaceae,Clerodendrum speciosissimum,Terrestre,Exótica,Presente,,,,,167827
2068INVAS,Plantas,4,Lamiaceae,Clerodendrum thomsoniae,Terrestre,Exótica,Presente,,,,,167828
2086INVAS,Plantas,4,Euphorbiaceae,Codiaeum variegatum,Terrestre,Exótica,Presente,,,,,200715
2088INVAS,Plantas,4,Rubiaceae,Coffea arabica,Terrestre,Exótica,Presente,,,,,166998
2089INVAS,Plantas,4,Rubiaceae,Coffea liberica,Terrestre,Exótica,Presente,,,,,166999
2099INVAS,Plantas,4,Rhamnaceae,Colubrina asiatica,Terrestre,Exótica,Presente,,,,,200390
2124INVAS,Insectos,12,Rhinotermitidae,Coptotermes gestroi,Terrestre,Exótica,Presente,Invasora,X,,,252148
2151INVAS,Otros invertebrados,7,Corynidae,Coryne eximia,Marino,Criptogénica,Presente,Invasora,X,Lista oficial invasoras México,,46431
2160INVAS,Plantas,4,Rosaceae,Cotoneaster pannosus,Terrestre,Exótica,Presente,,,,,171297
2181INVAS,Plantas,4,Iridaceae,Crocosmia crocosmiiflora,Terrestre,Exótica,Presente,,,,,
2308INVAS,Plantas,4,Asteraceae,Matricaria chamomilla,Terrestre,Exótica,Presente,,,,,179977
2309INVAS,Peces,16,Channidae,Channa,Dulceacuícola,Exótica,,,,,,24320
2310INVAS,Peces,16,Channidae,Channa asiatica,Dulceacuícola,Exótica,Ausente,Invasora,,,,290585
2311INVAS,Peces,16,Channidae,Channa bleheri,Dulceacuícola,Exótica,Ausente,,,,,
