Selectiva@0@8006764
Selectiva@0@8006812
Selectiva@0@8007376
Selectiva@0@8007377
Selectiva@0@4010134
No Selectiva@10@8006984
No Selectiva@10@8006985
Selectiva@0@2002197
No Selectiva@10@8019321
No Selectiva@10@8006993
No Selectiva@10@8007006
No Selectiva@10@
Selectiva@0@2002785
Intermedia@5@
Intermedia@5@8020033
Selectiva@0@4009948
Selectiva@0@4009949
No Selectiva@10@
No Selectiva@10@8008457
Selectiva@0@4009848
Selectiva@0@8007088
Selectiva@0@8007089
Selectiva@0@8007100
Selectiva@0@8007088
No Selectiva@10@2002416
No Selectiva@10@8007107
No Selectiva@10@8007108
Selectiva@0@8007122
No Selectiva@10@8007128
No Selectiva@10@8007130
No Selectiva@10@2008619
No Selectiva@10@8007141
No Selectiva@10@8007144
No Selectiva@10@8007195
No Selectiva@10@8007203
No Selectiva@10@2003163
No Selectiva@10@2002152
No Selectiva@10@2002162
No Selectiva@10@8007214
No Selectiva@10@2002155
No Selectiva@10@8007216
No Selectiva@10@8007217
No Selectiva@10@8007218
No Selectiva@10@2002155
No Selectiva@10@8007220
Selectiva@0@4013240
No Selectiva@10@8007223
No Selectiva@10@8007225
No Selectiva@10@8007226
Selectiva@0@
Selectiva@0@4013375
No Selectiva@10@8007229
Selectiva@0@8006598
Selectiva@0@8019325
Selectiva@0@8007253
Selectiva@0@8007253
No Selectiva@10@8007270
Selectiva@0@8007275
