Grupo,Familia,Nombre científico,Sinónimos,Nombre común,Ambiente,Distribución Nativa,Distribución Invasora,Origen,Presencia,Estatus,Regulada por otros instrumentos,Ficha,enciclovida_id
Plantas,,Aptenia cordifolia,"Mesembryanthemum cordifolium, Litocarpus cordifolius y Tetracoilanthus cordifolius","Baby sun rose, apple, heartleaf iceplant, dew plant.",Terrestre,"Sur de África (Vibrans, 2009)","Perú, Estados Unidos (California), Península Ibérica. Se ha registrado en Puebla y D.F. (Vibrans, 2009)",Exótica,Presente,,,,200684
Plantas,,Arachis hypogaea,,Cacahuate,Terrestre,"Sudamérica (Villaseñor & Espinosa-García, 2004)","Chihuahua (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,186801
Plantas,,Arceuthobium americanum,,,Terrestre,"Canadá (Alberta, BC, Manitoba, Northwest Territories, Ontario, Saskatchewan). USA (Alaska, California, Colorado, Idaho, Montana, Oregón, Utah, Washington, Wyoming). (CABI, 2012)",,Exótica,Ausente,,,,201421
Plantas,,Arceuthobium laricis,,,Terrestre,"Canadá (British Columbia), Estados Unidos (Idaho, Montana, Oregón, Washington) (CABI 2012)",,Exótica,Ausente,,,,201422
Plantas,,Arceuthobium minutissimum,,,Terrestre,"Bután, India, Nepal, Pakistán (CABI 2012)",,Exótica,Ausente,,,,201423
Plantas,,Arceuthobium pusillum,,,Terrestre,"Canadá, Estados Unidos (CABI 2012)",,Exótica,Ausente,,,,201424
Plantas,,Argemone mexicana,,Chicalote amarillo,Terrestre,"México, Estados Unidos, Anguila, Antigua y Barbuda, Bahamas, Barbados, Cuba, dominica, República Dominicana, Granada, Guadalupe, Haití, Jamaica, Martinica, Monserrat, Antillas Holandesas, Puerto Rico, Islas Vírgenes, Belice, Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, Panamá, Guyana, Venezuela, Bolivia, Colombia, Ecuador, Perú (USDA, ARS 2015).","Galápagos, Hawaii, Nueva Caledonia, Samoa (PIER 2007)",Nativa,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,166229
Plantas,,Argyranthemum frutescens,,,Terrestre,"África y Europa (Villaseñor et al., 2012).","África, Asia, Europa, Norteamérica, Sudamérica, Distrito Federal, Morelos (Villaseñor et al., 2012)",Exótica,Presente,,,,201294
Plantas,,Arrhenatherum elatius,,,Terrestre,"Viejo Mundo (Sánchez-Ken et al., 2012)","Chiapas (Sánchez-Ken et al., 2012)",Exótica,Presente,,,,174410
Plantas,,Artemisia absinthium,,,Terrestre,"África, Asia (Villaseñor & Espinosa-García, 2004) y Europa (Maw et al., 1985)","Durango (Villaseñor & Espinosa-García, 2004), Guanajuato, Hidalgo, México, Michoacán, Querétaro, San Luis Potosí, Tlaxcala y Veracruz (Villaseñor et al., 2012)",Exótica,Presente,,,,179016
Plantas,,Artemisia dracunculus,,,Terrestre,"Eurasia (Vallés, 2001)","Colima (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,180568
Plantas,,Arthraxon hispidus,"Phalaris hispida, Arthraxon ciliaris cryptatherus, Arthraxon hispidus var. cryptatherus",,Terrestre,"Asia y Australia (USDA, ARS 2015)","Uruapan, Michoacán, Veracruz y Chiapas (Vibrans, 2009)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,175256
Plantas,,Arthraxon hispidus hispidus,"Arthraxon quartinianus (A. Rich.) Nash, 1912",,Terrestre,"Este de Asia (Espinosa García, 2000)",,Exótica,Presente,,,,208630
Plantas,,Arundo donax,,"Carrizo gigante, Caña",Terrestre; Dulceacuícola,"Este de Europa, Asia templada y tropical (Weber, 2003)","Cuatro Ciénegas, Coahuila (McGaugh et al., 2006), Chihuahua, Tamaulipas (McWilliams, 2004)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,174347
Plantas,,Asclepias syriaca,,,Terrestre,"Canadá, Estados Unidos (CABI 2015)","Hungría, Serbia, Canadá (Manitoba, New Brunswick, Nova Scotia, Ontario, Quebec, Saskatchewan) (CABI 2015)",Exótica,Ausente,Invasora,Acuerdo especies exóticas SEMARNAT/NOM-043-FITO-1999,,201425
Plantas,,Asphodelus fistulosus,"Anthericum unilineatum Poelln.; Glyphosperma palmeri S. Watson; Hagenbachia angusta, Ravenna",Asfodelo,Terrestre,"Mediterráneo y Macaronesia (Boatwright, 2012).","Estado de México (Villaseñor & Espinosa-García, 2004); Estados Unidos y México (Vibrans, 2009)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,156021
Plantas,,Atriplex patula,,,Terrestre,"Europa (Villaseñor & Espinosa-García, 2004)","Baja California Sur (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,201307
Plantas,,Atriplex rosea,,,Terrestre,"Europa (Villaseñor & Espinosa-García, 2004)","Baja California (Villaseñor & Espinosa-García, 2004)",Exótica,Presente,,,,172113
Plantas,,Atriplex semibaccata,,"Morenita rastrera, chamiso australiano, romerillo",Terrestre,"Australia (Vibrans, 2009)","México (el Mezquital, Hidalgo, Ecatepec, Texcoco, Baja California Norte, Coahuila, DF, Oaxaca (Vibrans, 2009), Isla Guadalupe (Aguirre Muñoz et al., 2013)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,x,172114
Plantas,,Atriplex suberecta,,,Terrestre,"Australia (Vibrans, 2009)","México (Distrito Federal, Estado de México) (Vibrans, 2009)",Exótica,Presente,,,,172116
Plantas,,Avena barbata,,,Terrestre,"Norte de África, Azores, Islas Canarias, Europa, oeste de Asia y la India (Weeds of Australia, Weeds of Australia, 2014).",,Exótica,Presente,,,,173225
Plantas,,Avena fatua,,,Terrestre,"África, Asia, Europa (USDA, ARS 2015)","Estados Unidos, México (Aguascalientes, Baja California, Chiapas, Chihuahua, Coahuila, Distrito Federal, Durango, Guanajuato, Hidalgo, Jalisco, Estado de México, Michoacán, Nuevo León, Oaxaca, Puebla, San Luis Potosí, Sonora, Tamaulipas, Tlaxcala y Veracruz) (Espinosa, 2000); Centroamérica, Sudamérica y el Caribe (Dávila-Aranda et al., 2006)",Exótica,Presente,,,,174603
