Grupo,Familia,Nombre científico,Sinónimos,Nombre común,Ambiente,Distribución Nativa,Distribución Invasora,Origen,Presencia,Estatus,Regulada por otros instrumentos,Ficha,enciclovida_id
Algas y protoctistas,Gonyaulacaceae,Lingulodinium polyedra,,,Marino,,,Exótica,Presente,,,,14429
Algas y protoctistas,Dictyochaceae,Dictyocha speculum,,,Marino,,,Exótica,Presente,,,,239374
Algas y protoctistas,Ceratiaceae,Tripos muelleri,,,Marino,,,Exótica,Presente,,,,15878
Algas y protoctistas,Ceratiaceae,Tripos furca,,,Marino,,,Exótica,Presente,,,,15827
Algas y protoctistas,Chaetocerotaceae,Chaetoceros didymus,,,Marino,,,Exótica,Presente,,,,11847
Algas y protoctistas,Ulvaceae,Ulva lactuca,"Ulva fasciata, Ulva lactuca latissima",Alga verde,Marino,"Océanos Atlántico e Índico (Okolodkov et al., 2007) y Hawaii (University of Hawaii, 2013)","Distribuida en Atlántico e Índico, costas del Pacífico, desde Baja California hasta Oaxaca (Okolodkov et al., 2007; University of Hawaii, 2013)",Exótica,Presente,Invasora,,,9582
Algas y protoctistas,Bacillariaceae,Pseudo-nitzschia pungens,Pseudonitzschia pungens (Grunow ex Cleve) Hasle,Diatomea,Marino,,,Exótica,Presente,,,,11332
Algas y protoctistas,Goniodomaceae,Alexandrium minutum,Pyrodinium minutum (Halim) Taylor; Alexandrium ibericum E. Balech 1985,"Fitoplancton marea roja, dinoflagelado marea roja, Microalga",Marino,,"Baja California Sur (Okolodkov & Gárate, 2006), Bermuda, Isla La Reunión, Mayotte (GISD, 2011)",Exótica,Presente,,,,14680
Algas y protoctistas,Goniodomaceae,Alexandrium catenella,,Microalga,Marino,"San Diego, California, Estados Unidos (Olenina & Olenin, 2006).","Oeste de Baja California Sur, Baja California, Sonora, Sinaloa, Jalisco, Oaxaca, Colima (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14399
Algas y protoctistas,Gonyaulacaceae,Protoceratium reticulatum,Protoceratium reticulatum (Clap. And J. Lachm.) Buetschli,Microalga,Marino,,,Exótica,Presente,,,,14430
Algas y protoctistas,Heterodiniaceae,Dolichodinium lineatum,,Dinoflagelado,Marino,,"Guerrero (Zihuatanejo) (Okolodkov & Gárate, 2006)",Exótica,Por confirmar,,,,14785
Algas y protoctistas,Heterodiniaceae,Heterodinium inaequale,,Dinoflagelado,Marino,,"Golfo de California (Bahía de la Paz) (Okolodkov & Gárate, 2006)",Exótica,Por confirmar,,,,14824
Algas y protoctistas,Heterodiniaceae,Heterodinium milneri,,Dinoflagelado,Marino,,,Exótica,Presente,,,,14825
Algas y protoctistas,Kofoidiniaceae,Spatulodinium pseudonoctiluca,,Dinoflagelados,Marino,,"Oeste de Baja California Sur (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14940
Algas y protoctistas,Ostreopsidaceae,Coolia monotis,,Microalga,Marino,"Reino Unido (Guiry & Guiry, 2011)","Grecia (Guiry & Guiry, 2011)",Exótica,Presente,,,,14768
Algas y protoctistas,Goniodomaceae,Ostreopsis lenticularis,,Microalga,Marino,,,Exótica,Por confirmar,,,,14837
Algas y protoctistas,Peridiniaceae,Scrippsiella spinifera,,Dinoflagelados,Marino,,"Golfo de California (Bahía de la Paz, Bahía Concepción, Baja California Sur) (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14945
Algas y protoctistas,Prorocentraceae,Prorocentrum lima,,Microalga,Marino,,"Oeste de la Peninsula de Baja California (Bahía Magadalena, Baja California Sur, Baja California), Golfo de California (Bahía de la Paz, Sonora), Oaxaca (Puerto Ángel) (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14582
Algas y protoctistas,Prorocentraceae,Prorocentrum rhathymum,,Microalga,Marino,,"Oeste de Baja California Sur, Golfo de California (Baja California Sur) (Okolodkov & Gárate, 2006)",Exótica,Por confirmar,,,,14865
Algas y protoctistas,Prorocentraceae,Prorocentrum belizeanum,,Dinoflagelados,Marino,,,Exótica,Presente,,,,14855
Algas y protoctistas,Prorocentraceae,Prorocentrum concavum,,Microalga,Marino,,,Exótica,Presente,,,,14859
Algas y protoctistas,Prorocentraceae,Prorocentrum cordatum,Exuviella cordata,Microalga,Marino,,,Exótica,,,,,15172
Algas y protoctistas,Prorocentraceae,Prorocentrum emarginatum,,Microalga,Marino,,,Exótica,Presente,,,,14862
Algas y protoctistas,Prorocentraceae,Prorocentrum hoffmannianum,,Microalga,Marino,,,Exótica,Presente,,,,230181
Algas y protoctistas,Dinophysiaceae,Dinophysis lativelata,,Dinoflagelado,Marino,,"Golfo de California (Bahía de la Paz, Baja California Sur) (Okolodkov & Gárate, 2006)",Exótica,Por confirmar,,,,14775
Algas y protoctistas,Gymnodiniaceae,Amphidinium carterae,,Microalga,Marino,,,Exótica,Presente,,,,14606
Algas y protoctistas,Gymnodiniaceae,Amphidinium operculatum,Pouchetia polyphemus,Microalga,Marino,,,Exótica,Presente,,,,14611
Algas y protoctistas,Gymnodiniaceae,Cochlodinium polykrikoides,,Microalga,Marino,,"Golfo de California (Baja California Sur, Sinaloa), Colima (Okolodkov & Gárate, 2006). Korea (Kim et al., 2007).",Exótica,Presente,,,,14315
Algas y protoctistas,Prorocentraceae,Prorocentrum triestinum,,,Marino,,"Bahia de Mazatlán, México (Cortés et al., 2004)",Exótica,Presente,,,,14591
Algas y protoctistas,Gymnodiniaceae,Cochlodinium catenatum,,,Marino,,"Bahia de Banderas, Golfo de Nicoya en Costa Rica, Provincia de Sucre Venezuela (Cortés et al., 2004)",Exótica,Presente,,,,14313
Algas y protoctistas,Mesodiniidae,Mesodinium rubrum,,,Marino,,"Bahía de Banderas, Jalisco-Nayarit (Cortés-Lara, 2002)",Exótica,Presente,,,,
Algas y protoctistas,Rhaphoneidaceae,Neodelphineis spp.,,,Marino,,,Exótica,,,,,
Algas y protoctistas,Bacillariaceae,Nitzschia spp.,,,Marino,,,Exótica,,,,,
Algas y protoctistas,Peronosporaceae,Phytophthora ramorum,,,Terrestre,"Amplia distribución en Europa, aunque no se conoce su origen","Norteamérica (CABI, 2015)",Exótica,Ausente,,,,
Algas y protoctistas,Gracilariaceae,Gracilaria vermiculophylla,"Gracilaria asiatica Zhang & Xia, Gracilariopsis vermiculophylla Ohmi",,Marino,"China, Japón, Corea, Rusia, Vietnam (GISD, 2015)","Canadá, Dinamarca, Italia, Suecia, Alemania, Holanda, Estados Unidos (GISD, 2015). En México: Exótica en Baja California (Bellorin et al., 2004)",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,,12947
Algas y protoctistas,Caulerpaceae,Caulerpa verticillata,,,Marino,"Oeste de Australia (FloraBase, 2013)","Suroeste del Golfo de California (Pérez-Estrada et al., 2013)",Exótica,Presente,Invasora,,,9432
Algas y protoctistas,Rhodomelaceae,Acanthophora spicifera,"Fucus acanthophorus, Acanthophora thierryi, Chondria acanthophora, Acanthophora orientalis, Fucus spicifer",red alga,Marino,"Costas de Florida (Jong et al., 1999).",,Exótica,Presente,Invasora,,,9781
Algas y protoctistas,Halymeniaceae,Pachymeniopsis lanceolata,,,Marino,,,Exótica,,,,,
Algas y protoctistas,Gracilariaceae,Gracilaria parvispora,,,Marino,"Hawái (García-Rodríguez et al., 2012)","Chiapas, Guerrero, Oaxaca y Colima (Dreckmann & Senties, 2014), Baja California (García-Rodríguez et al., 2012)",Exótica,Presente,,,,15786
Algas y protoctistas,Vibrionaceae,Vibrio parahaemolyticus O3K6,,Vibrio paraharmolyticus serotipo 03K6,Se desconoce,,,Exótica,Presente,,,,
Algas y protoctistas,Perkinsidae,Perkinsus marinus,,,Marino,,,Exótica,Presente,,,,15791
Algas y protoctistas,Dinophysiaceae,Dinophysis tripos,,Microalga,Marino,,"Baja California, Baja California Sur, Jalisco (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14262
Algas y protoctistas,Dinophysiaceae,Histioneis crateriformis,,Dinoflagelado,Marino,,"Acapulco (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14267
Algas y protoctistas,Dinophysiaceae,Phalacroma mitra,"Dinophysis mitra (Schütt, 1895) Abé",Microalga,Marino,,,Exótica,Presente,,,,14299
Algas y protoctistas,Dinophysiaceae,Phalacroma rotundatum,Dinophysis rotundata Claparède and Lachmann,Microalga,Marino,,,Exótica,Presente,,,,14305
Algas y protoctistas,Dinophysiaceae,Dinophysis similis,,Dinoflagelado,Marino,,,Exótica,Presente,,,,14260
Algas y protoctistas,Cladopyxidaceae,Peridiniella danica,Glenodinium danicum Paulsen,Dinoflagelado,Marino,,"Oeste de Baja California Sur, Jalisco (Cabo Corrientes), Michoacán (El Faro), Guerrero (Acapulco) (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14393
Algas y protoctistas,Bacillariaceae,Pseudo-nitzschia seriata,,Diatomea,Marino,,,Exótica,Presente,,,,11333
Algas y protoctistas,Bacillariaceae,Pseudo-nitzschia subfraudulenta,,Diatomea,Marino,,,Exótica,Presente,,,,11334
Algas y protoctistas,Cladopyxidaceae,Palaeophalacroma unicinctum,Palaeophalacroma uniciinctum,Dinoflagelado,Marino,,,Exótica,Presente,,,,14848
Algas y protoctistas,Chattonellaceae,Chattonella marina antiqua,Hemieutreptia corallina Hada,Microalga,Marino,,"Costas mexicanas (Bravo-Sierra, 2004)",Exótica,Por confirmar,,,,
Algas y protoctistas,Chattonellaceae,Chattonella marina,,Microalga,Marino,,"Costas mexicanas (Bravo-Sierra, 2004)",Exótica,Presente,,,,
Algas y protoctistas,Chattonellaceae,Chattonella subsalsa,,Microalga,Marino,,"Sur de Brasil (Bravo-Sierra, 2004) registrada en el Golfo de México (Crisóstomo-Vázquez et al., sin fecha)",Exótica,Presente,,,,
Algas y protoctistas,Goniodomaceae,Alexandrium cohorticula,,Microalga,Marino,,"Michoacán (Caleta de Campos, Guerrero (Zihuatanejo) (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14400
Algas y protoctistas,Goniodomaceae,Alexandrium hiranoi,,Microalga,Marino,,"Islas Jogashima, Kanagawa y Costas de Japón (Kita & Fukuyo, 1988)",Exótica,Por confirmar,,,,
Algas y protoctistas,Goniodomaceae,Alexandrium leei,,Microalga,Marino,,"Michoacán (El Faro) (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14678
Algas y protoctistas,Goniodomaceae,Alexandrium concavum,"Goniodoma concavum, Gaarder, 1954; Gonyaulax concava, (Gaarder) Balech, 1967",Macroalga,Marino,,"Guerrerro (Zihuatanejo) (Okolodkov & Gárate, 2006)",Exótica,Por confirmar,,,,14793
Algas y protoctistas,Goniodomaceae,Alexandrium kutnerae,Gonyaulax kutnerae E. Balech,Macroalga,Marino,,"Oaxaca (San Agustinillo, Puerto Escondido, Puerto Ángel) (Okolodkov & Gárate, 2006)",Exótica,Por confirmar,,,,14677
Algas y protoctistas,Gonyaulacaceae,Amylax triacantha,"Gonyaulax triacantha Jörgensen, 1899",Dinoflagelado ,Marino,,,Exótica,Presente,,,,14691
Algas y protoctistas,Protoperidiniaceae,Boreadinium pisiforme,,Dinoflagelado ,Marino,,"Sinaloa (Mazatlán) (Okolodkov & Gárate, 2006)",Exótica,Por confirmar,,,,14693
Algas y protoctistas,Protoperidiniaceae,Protoperidinium parcum,,Dinoflagelados,Marino,,"Jalisco (Cabo Corrientes) (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14887
Algas y protoctistas,Caulerpaceae,Caulerpa taxifolia,Fucus taxifolius Vahl 1802,"Caulerpa, alga asesina",Marino,"Océano Atlántico, Australia, Bermuda, China, Fiji, India, Océano índico, Japón, Nueva Caledonia, República de Seychelles y República de las Maldivas (GISD 2016).","Croacia, Francia, Alemania, Italia, Mediterráneo, Mónaco, Nueva Zelanda, España y Estados Unidos (GISD 2016).",Exótica,Por confirmar,Invasora,Acuerdo especies exóticas SEMARNAT,,9431
Algas y protoctistas,Incertae sedis,Pseudochattonella verruculosa,,Microalga,Marino,,"Sur de Brasil  (Bravo-Sierra, 2004)",Exótica,Por confirmar,,,,
Algas y protoctistas,Fibrocapsaceae,Fibrocapsa japonica,,Microalga,Marino,,"Oeste del Pacifico y norte del Atlantico (Ruiz et al., 2000)",Exótica,Presente,,,,
Algas y protoctistas,Codiaceae,Codium fragile,,,Marino; Salobre,"Este de Asia  (Chavanich et al., 2006)","Golfo de Maine (Chavanich et al., 2006). Baja Calfiornia Sur (punta Abreojos) a Isla Guadalupe (Pedroche et al., 2002).",Exótica,Presente,Invasora,,,10438
Algas y protoctistas,Cutleriaceae,Mutimo cylindricus,Cutleria cylindrica,Macroalga parda,Marino,"Japón (Aguilar-Rosas, 1994)","Raul´s Baja California (Aguilar-Rosas, 1994)",Exótica,Presente,Invasora,,,15770
Algas y protoctistas,Sargassaceae,Sargassum muticum, Sargassum kjellmanianum f. muticus Yendo.,Sargaso,Marino,"China, Japón, Corea, Rusia (GISD, 2010)","Norteamérica, Columbia Británica, Oregon, Alaska hasta Baja California. En México: Bufadora, Baja California, sur de la Península de Baja California (Okolodkov et al., 2007). Bélgica, Francia, Alemania, Irlanda, Italia, Holanda, Noruega, Portugal, España,",Exótica,Presente,Invasora,,,10669
Algas y protoctistas,Protoperidiniaceae,Oblea rotunda,,Dinoflagelado,Marino,,,Exótica,Presente,,,,14487
Algas y protoctistas,Protoperidiniaceae,Protoperidinium bispinum,,Dinoflagelados,Marino,,"Colima (Cuyutlán, Manzanillo) (Okolodkov Gárate, 2006)",Exótica,Presente,,,,14496
Algas y protoctistas,Brachidiniaceae,Karlodinium veneficum,Karlodinium micrum (B.Leadbeater & J.D. Dodge) J. Larsen,Microalga,Marino,,,Exótica,Ausente,,,,15790
Algas y protoctistas,Goniodomaceae,Ostreopsis siamensis,,Microalga,Marino,,"Isla Isable (Cortés-Altamirano et al., 2004).",Exótica,Presente,,,,14840
Algas y protoctistas,Goniodomaceae,Alexandrium monilatum,,Microalga,Marino,,"Oeste de Baja California, Baja California Sur, Sonora, Sinaloa, Jalisco, Guerrero (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14401
Algas y protoctistas,Goniodomaceae,Alexandrium ostenfeldii,http://www.algaebase.org/search/species/detail/?species_id=52069,Microalga,Marino,,"Michoacán (Okolodkov & Gárate, 2006) Louisiana (Dortch etal., 1999)",Exótica,Presente,,,,14681
Algas y protoctistas,Goniodomaceae,Alexandrium tamarense,"Protogonyaulax tamarensis (Lebour, 1925) Taylor, 1979",Microalga,Marino,,"Sinaloa (Mazatlán), Guerrero (Acapulco), Oaxaca (Puerto Escondido, San Agustinillo) (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14684
Algas y protoctistas,Kareniaceae,Karenia mikimotoi,,Microalga,Marino,,"Sinaloa (Okolodkov & Garate, 2006)",Exótica,Presente,,,,14829
Algas y protoctistas,Thoracosphaeraceae,Naiadinium polonicum,"Glenodinium gymnodinium, Glenodinium gymnodinium var biscutellifome, peridinium polonicum, Peridinium trilineatum",Microalga,Marino,,,Exótica,Presente,,,,
Algas y protoctistas,Protoperidiniaceae,Protoperidinium parvicollum,,Dinoflagelados,Marino,,"Oaxaca (Salinas Cruz) (Okolodkov & Gárate, 2006)",Exótica,Presente,,,,14543
Arácnidos,Theraphosidae,Avicularia avicularia,,,Terrestre,,,Exótica,Confinado,Invasora,,,230182
Arácnidos,Theraphosidae,Theraphosa blondi,,,Terrestre,,,Exótica,Confinado,,,,
Arácnidos,Eriophyidae,Epitrimerus pseudotsugae,,,Terrestre,"Oeste de Estados Unidos, Oregón, Washington, Idaho y California y Canadá: Columbia Británica (Cibrián, 2009)","No se han registrado en áreas alejadas de su área nativa (Cibrián, 2009)",Exótica,Ausente,Invasora,Acuerdo especies exóticas SEMARNAT,,229919
Arácnidos,Tenuipalpidae,Raoiella indica,,,Terrestre,"Sur de Asia, el Medio Oriente y África (Estrada, 2012).","India, Egipto, Isla Martinica (Estrada-Venegas et al., 2015) y en Guadalupe, Haiti, Jamaica, Martinica, Puerto Rico, Santa Lucia,  San Vicente y las  Granadinas, Islas Vírgenes de los Estados  Unidos y Venezuela. México: Isla Mujeres, Lázaro Cárdenas, Ben",Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,,125866
Arácnidos,Phytoptidae,Nalepella ednae,,,Terrestre,"Oeste de Estados Unidos, Oregon, Washington, Idaho y California y Canadá: Columbia Británica (Cibrián, 2009)",,Exótica,Ausente,Invasora,Acuerdo especies exóticas SEMARNAT,,229909
Arácnidos,Theraphosidae,Grammostola rosea,,,Terrestre,,,Exótica,Confinado,,,,
Arácnidos,Varroidae,Varroa destructor,,,,"Inglaterra, Gales (GISD, 2016)","Asia, Medio Oriente, Oriente lejano, Irlanda del Norte, Escocia, Canadá (GISD, 2016), México (Rodríguez-Dehaibes, et al. 2005)",Exótica,Presente,,,,230183
Crustáceos,Balanidae,Balanus crenatus crenatus,,,Marino,,,Exótica,Por confirmar,,,,
Crustáceos,Cheluridae,Chelura terebrans,,,Marino,,,Exótica,Por confirmar,,,,
Crustáceos,Limnoriidae,Limnoria spp.,,,Marino; Terrestre,,,Exótica,,,,,
Crustáceos,Moinidae,Moina macrocopa,"Daphnia macrocopa Straus, 1820; Moina flagellata Hudendorff, 1876; Moina paradoxa Weismann, 1877",Pulga de agua,Dulceacuícola,"Europa (Hudec, 1997)","Sudámerica (Okolodkov et al., 2007)",Exótica,Presente,,,,63246
Crustáceos,Corophiidae,Monocorophium acherusicum,Corophium acherusicum,Anfipodo,Marino,"Atlántico noroccidental (Barnard, 1964; Barnard, 1970)","costas de México (Okolodkov et al., 2007) Costa del Pacifico Canadiense, Estados Unidos: Washington: Puget Sound (Cohen, 2004)",Exótica,Presente,,,,63548
Crustáceos,Aoridae,Grandidierella japonica,,Anfipodo,Salobre,"Pacífico noroccidental (Odkolodkov et al., 2007) Japón (Cohen, 2004)","costas del Pacífico (Cohen, 2004) Bahía de San Quintín (Flores-Uzeta, 1996), Hawaii, Inglaterra, Australia",Exótica,Ausente,,,,64246
Crustáceos,Parastacidae,Cherax destructor,,,Dulceacuícola,"Australia (Mendoza et al., 2011)",,Exótica,Por confirmar,Invasora,,,64584
Crustáceos,Pseudodiaptomidae,Pseudodiaptomus forbesi,,,Marino; Salobre; Dulceacuícola,,,Exótica,Por confirmar,,,,
Crustáceos,Centropagidae,Sinocalanus doerrii,,,Dulceacuícola; Salobre,,,Exótica,Por confirmar,,,,
Crustáceos,Oithonidae,Oithona davisae,,,Marino; Salobre; Dulceacuícola,,,Exótica,Por confirmar,,,,
Crustáceos,Oithonidae,Limnoithona sinensis,,,Dulceacuícola; Salobre,,,Exótica,,,,,
Crustáceos,Centropagidae,Centropages abdominalis,,,Marino,,,Exótica,,,,,62856
Crustáceos,Centropagidae,Centropages typicus,,,Marino,,,Exótica,,,,,62859
Crustáceos,Acartiidae,Acartia (Acartiura) omorii,,,Marino,,,Exótica,Presente,,,,230177
Crustáceos,Alpheidae,Salmoneus gracilipes,,,Marino,,,Exótica,,,,,
Crustáceos,Hippolytidae,Hippolyte zostericola,,,Marino,,,Exótica,Presente,,,,59913
Crustáceos,Palaemonidae,Exopalaemon styliferus,,,Dulceacuícola,,,Exótica,,,,,
Crustáceos,Sphaeromatidae,Sphaeroma terebrans,,,"Terrestre, Marino","Indo-Pacifico (Brooks, 2004).",,Exótica,Presente,,,,63609
Crustáceos,Balanidae,Amphibalanus venustus,,,Marino,"Cosmopolita (Barrios-Quiroz et al., 2013)","Laguna el Carpintero, Tamaulipas (Barrios-Quiroz et al., 2013)",Criptogénica,Presente,,,,64469
Crustáceos,Ligiidae,Ligia exotica,,,Marino; Terrestre,"Cosmopolita (Rodríguez-Almaraz & García-Madrigal, 2014).","Topolobampo, La Paz y Mazatlán (Rodríguez-Almaraz & García-Madrigal, 2014).",Exótica,Presente,,,,60658
Crustáceos,Ligiidae,Ligia spp.,,,Marino; Terrestre,,,Exótica,,,,,
Crustáceos,Tanaidae,Sinelobus stanfordi,,,Marino,"Cosmopolita (Hendrickx & Ibarra, 2008)",,Exótica,Presente,,,,62519
Crustáceos,Portunidae,Callinectes bocourti,,,Marino,"Jamaica, Belice y Santa Catarina, Brasil (Fofonoff et al., 2003)",,Exótica,Presente,,,,60252
Crustáceos,Caligidae,Lepeophtheirus salmonis,,piojo de mar,Marino; Salobre,,,Exótica,Ausente,,,,
Crustáceos,Tanaidae,Zeuxo kurilensis,,,Marino,,,Exótica,Presente,,,,65687
Crustáceos,Mysidae,Rhopalophthalmus tattersallae,,,Marino,,,Exótica,Por confirmar,,,,
Crustáceos,Mysidae,Neomysis americana,,,Marino,,,Exótica,Por confirmar,,,,
Crustáceos,Pleustidae,Incisocalliope derzhavini,,,Marino,,,Exótica,Ausente,,,,
Crustáceos,Parastacidae,Cherax quadricarinatus,,Cangrejo de río,Dulceacuícola,"Norte de Australia (Mendoza et al., 2011).","África, Asia, Europa, Oceanía, Continente Americano, México (Yucatán, Oaxaca, Veracruz, Tamaulipas, Nuevo León, Jalisco, Baja California y BCS, Colima, DF, Morelos, Chihuahua, Sinaloa) (Mendoza et al., 2011)",Exótica,Presente,Invasora,,,64583
Crustáceos,Balanidae,Megabalanus tintinnabulum,,Percebe,Marino,,"Costas de México (Okolodkov et al., 2007), Tamaulipas (Celis et al. 2007)",Exótica,Presente,,,,64581
Crustáceos,Penaeidae,Litopenaeus stylirostris,,Camarón azul,Marino,"Pacífico mexicano (Okolodkov et al., 2007)","Atlántico  y Golfo de México (Okolodkov et al., 2007)",Exótica,Presente,,,,59742
Crustáceos,Cercopagididae,Bythotrephes longimanus,"Bythotrephes cederstroemii Schodler, 1877",Pulga de agua espinosa,Marino,"Paleártico (Lehman & Cáceres, 1993)","Sudámerica (Okolodkov et al., 2007)",Exótica,Presente,,,,64578
Crustáceos,Daphniidae,Daphnia (Daphnia) lumholtzi,,Pulga de agua,Dulceacuícola,"África, Asia y Australia (Benson et al., 2004)","Sudámerica (Okolodkov et al., 2007), Reino Unido, Estados Unidos, Canadá, Brasil (GISD, 2006); México (Sonora (Silva-Briano et al., 2010))",Exótica,Presente,,,,64579
Crustáceos,Pseudodiaptomidae,Pseudodiaptomus inopinus,,,Dulceacuícola,,,Exótica,Por confirmar,,,,
Crustáceos,Ampeliscidae,Ampelisca abdita,,Anfipodo,Marino; Salobre,"Estuario Sheepscot, parte central de Maine, costa noreste de los Estados Unidos de América (Winfield et al., 2011)","Golfo de California (Winfield et al., 2011)",Exótica,Presente,,,,60693
Crustáceos,Pseudodiaptomidae,Pseudodiaptomus marinus,,,Marino; Salobre,,,Exótica,Por confirmar,,,,
Crustáceos,Daphniidae,Daphnia (Ctenodaphnia) magna,,,Dulceacuícola,,,Exótica,Ausente,,,,
Crustáceos,Cyclopidae,Mesocyclops ogunnus,,,Dulceacuícola,"África y Asia (Benson, 2015)",,Exótica,Presente,,,,64573
Crustáceos,Pleustidae,Parapleustes derzhavini,,Anfipodo,Marino,"Originaria de Asia (Okolodkov et al., 2007)","Costas de California e Islas Galápagos (Okolodkov et al., 2007)",Exótica,Presente,,,,64571
Crustáceos,Cambaridae,Orconectes (Gremicambarus) virilis,,Langostino,Dulceacuícola,"Canadá y Estados Unidos (GISD, 2009)","México: Chihuahua (GISD, 2009)",Exótica,Presente,,,,59963
Crustáceos,Pleustidae,Incisocalliope derzhavini,,,Marino,,,Exótica,Por confirmar,,,,
Crustáceos,Caprellidae,Caprella equilibra,,,Marino,"Cosmopolita (Foster et al., 2004).",,Criptogénica,Presente,,,,61278
Crustáceos,Parastacidae,Cherax spp.,,,Dulceacuícola,"Australia (Mendoza et al., 2011).",,Exótica,Presente,Invasora,Acuerdo especies exóticas SEMARNAT,,
Crustáceos,Palaemonidae,Macrobrachium rosenbergii,Macrobrachium dacqueti,Camarón de Malasia,Dulceacuícola,"Indo-Pacífico (Rodríguez & Suárez, 2001)","Hawai, Pacífico colombiano, Japón, Polinesia, Nueva Caledonia (Alvaréz- León, & Gutierrez-Bonilla 2007)",Exótica,Presente,,,,59801
Crustáceos,Portunidae,Charybdis (Charybdis) japonica,,"Asian crab, Asian paddle crab, blue crab, paddle crab, swimming crab",Marino,"China, Corea, Malasia, Taiwán, Tailandia (GISD 2007)",En Nueva Zelanda (GISD 2007),Exótica,Ausente,,,,
Crustáceos,Balanidae,Amphibalanus reticulatus,Balanus reticulatus,,Marino,"Indo-Pacífico (Rodríguez-Almaraz & García-Madrigal, 2014).","Golfo de California (Mazatlán, Sinaloa), La Paz, Baja California Sur, Laguna de Términos, Ciudad del Carmen, Panamá, Ecuador, Atlántico occidental, Puerto Rico, Trinidad, Florida, Colombia, Brasil (Rodríguez-Almaraz & García-Madrigal, 2014).",Exótica,Presente,,,,63191
Crustáceos,Gnathophyllidae,Gnathophyllum modestum,,,Marino,,"noreste del Golfo de México (Dardeau et al., 1980)",Exótica,Presente,,,,64574
Crustáceos,Portunidae,Charybdis (Charybdis) hellerii,,Spiny hands,Marino,"Indo-Pacífico (Morán & Atencio, 2006)","Estados Unidos (McMillen-Jackson, 2008); Atlántico occidental, Colombia, Cuba, Florida, Venezuela, Brasil (Morán & Atencio, 2006)",Exótica,Ausente,Invasora,Acuerdo especies exóticas SEMARNAT,,64582
Crustáceos,Penaeidae,Marsupenaeus japonicus,Penaeus japonicus (basiónimo),,Marino,,,Exótica,Ausente,,,,
Crustáceos,Portunidae,Scylla serrata,,,Marino,,,Exótica,,,,,
Crustáceos,Tanaidae,Hexapleomera robusta,,,Marino,"Cosmopolita (Bamber, 2012).",,Exótica,Presente,,,,62518
Crustáceos,Mysidae,Taphromysis louisianae,,,Marino,"Golfo de México y se extiende desde Florida hasta bahía San Antonio, al norte de la laguna Madre, Texas (Rodríguez-Almaraz & García-Madrigal, 2014).",,Exótica,Presente,,,,61144
Crustáceos,Ischyroceridae,Ericthonius brasiliensis,,,Marino,,,Exótica,Presente,,,,60978
Crustáceos,Janiridae,Iais californica,,,Se desconoce,,,Exótica,Presente,,,,64580
Crustáceos,Palaemonidae,Macrobrachium macrobrachion,,,Dulceacuícola,"Angola, Benín, Camerún, República Democrática del Congo, Guinea Ecuatorial, Gabón, Ghana, Liberia, Sierra Leona (De Grave, 2013).",,Exótica,,,,,
Crustáceos,Argulidae,Argulus japonicus,,,Parásito/dulceacuícola,"Asia (Kipp et al., 2016)",,Exótica,Presente,,,,64572
Crustáceos,Moinidae,Moina macrocopa macrocopa,,,Dulceacuícola,,,Exótica,Presente,,,,230178
Crustáceos,Nannosquillidae,Pullosquilla litoralis,,,Marino,,,Exótica,,,,,
Crustáceos,Penaeidae,Fenneropenaeus chinensis,Penaeus chinensis,,Marino,"China, Japón, Corea (Li et al., 2009)",,Exótica,Presente,,,,64576
Crustáceos,Penaeidae,Metapenaeus spp.,,,Marino,,,Exótica,Ausente,,,,
Crustáceos,Melitidae,Melita nitida,,Anfipodo,Marino,"Nativa del Atlántico noroccidental (Okolodkov et al., 2007) Prince Edward Island (Canadá) (Lowry & Costello, 2011)","Costas de California (Okolodkov et al., 2007), Europa, Japón (Lowry & Costello, 2011)",Exótica,Presente,,,,60742
Crustáceos,Ampithoidae,Ampithoe pollex,Ampithoe indentata,Anfipodo,Marino,"Atlántico noroccidental (Barnard, 1964, 1970)","Bahía de San Quintín, Baja California y Golfo de Tehuantepec, Oaxaca (Okolodkov et al., 2007).",Exótica,Presente,,,,59721
Crustáceos,Ampithoidae,Ampithoe longimana,,Anfipodo,Marino,"Atlántico noroccidental (Barnard, 1964; 1970)","Bahía de San Quintín, Baja California (Barnard, 1964)",Exótica,Presente,,,,59719
