idCAT,layers,styler,bbox,anio,autor,urlgeoportal,urldescargazip
78890ANGIO,fco_70r85mdgw,invasoras,"-117.5,14.534005026,-86.7083333329999,32.7173383595301",2016,Martínez-Meyer et al.,http://geoportal.conabio.gob.mx/#!l=fco_70r85mdgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fco_70r85mdgw.zip
31179ANGIO,fsc013dpgw,dp_01g,"-100.038444519043,14.8667984008789,-90.3677062988281,19.7367172241211",2015,Villaseñor et al.,http://geoportal.conabio.gob.mx/#!l=fsc013dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fsc013dpgw.zip
775REPTI,fici_olivgw,poly_conabio_conabio_1p,"-99.677803,18.157627,-95.147804,22.717627",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=fici_olivgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fici_olivgw.zip
776REPTI,fici_publgw,poly_conabio_conabio_1p,"-99.887802,15.307626,-86.727806,21.517626",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=fici_publgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fici_publgw.zip
777REPTI,fici_ramigw,poly_conabio_conabio_1p,"-94.617805,16.597626,-94.607803,16.607626",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=fici_ramigw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fici_ramigw.zip
778REPTI,fici_ruspgw,poly_conabio_conabio_1p,"-99.527802,17.527626,-99.337807,17.597626",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=fici_ruspgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fici_ruspgw.zip
779REPTI,fici_stregw,poly_conabio_conabio_1p,"-100.437805,20.107626,-97.037804,26.297626",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=fici_stregw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fici_stregw.zip
780REPTI,fici_varigw,poly_conabio_conabio_1p,"-95.327805,16.917625,-94.1978,18.497625",2006,Ochoa-Ochoa et al.,http://geoportal.conabio.gob.mx/#!l=fici_varigw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fici_varigw.zip
29822ANGIO,fam037dpgw,dp_01g,"-102.252517700195,14.8641147613525,-86.7359390258789,25.7455501556396",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fam037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fam037dpgw.zip
29823ANGIO,fap037dpgw,dp_01g,"-105.253471374512,14.8663167953491,-86.8357162475586,25.7477779388428",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fap037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fap037dpgw.zip
29823ANGIO,fap052dpgw,dp_01g,"-99.4999999998951,14.5833333333981,-90.3716513645188,23.166666666761",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=fap052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fap052dpgw.zip
29824ANGIO,fau037dpgw,dp_01g,"-111.250175476074,14.5671091079712,-86.7355804443359,31.4128742218018",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fau037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fau037dpgw.zip
29824ANGIO,dis_f_tecogw,arbol_trop,"-99.000317,15.680802,-92.520138,21.080554",2005,Pennington y Sarukhán,http://geoportal.conabio.gob.mx/#!l=dis_f_tecogw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dis_f_tecogw.zip
29825ANGIO,fci037dpgw,dp_01g,"-106.697914123535,14.5671091079712,-86.7355804443359,23.5457935333252",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fci037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fci037dpgw.zip
29826ANGIO,fco037dpgw,dp_01g,"-105.439033508301,14.562705039978,-86.8310546875,20.7745189666748",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fco037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fco037dpgw.zip
29826ANGIO,fco052dpgw,dp_01g,"-95.4999999998813,5.08333333334222,-76.8333333331504,21.3750000000649",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=fco052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fco052dpgw.zip
29827ANGIO,fcot037dpgw,dp_01g,"-115.956954956055,14.5661649703979,-86.7669448852539,32.7161674499512",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fcot037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fcot037dpgw.zip
29827ANGIO,dis_f_cotigw,arbol_trop,"-109.320612,14.640855,-86.839988,27.600269",2005,Pennington y Sarukhán,http://geoportal.conabio.gob.mx/#!l=dis_f_cotigw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/dis_f_cotigw.zip
29827ANGIO,fcot052dpgw,dp_01g,"-109.541666666469,8.95833333303224,-83.2499999994632,28.3749999999493",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=fcot052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fcot052dpgw.zip
29828ANGIO,fcr037dpgw,dp_01g,"-111.251335144043,14.5653743743896,-86.7375640869141,31.4121074676514",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fcr037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fcr037dpgw.zip
29829ANGIO,fcro037dpgw,dp_01g,"-117.126953125,14.5661649703979,-86.7669448852539,32.7161674499512",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fcro037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fcro037dpgw.zip
29830ANGIO,fin037dpgw,dp_01g,"-115.956954956055,14.5661649703979,-86.7669448852539,32.7161674499512",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fin037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fin037dpgw.zip
29831ANGIO,fla037dpgw,dp_01g,"-105.439033508301,14.562705039978,-86.8310546875,25.7459506988525",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fla037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fla037dpgw.zip
29831ANGIO,fla013dpgw,dp_01g,"-105.25333404541,14.8667984008789,-86.7362060546875,25.7400722503662",2015,Villaseñor et al.,http://geoportal.conabio.gob.mx/#!l=fla013dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fla013dpgw.zip
29832ANGIO,fma037dpgw,dp_01g,"-111.246955871582,14.5661649703979,-86.7669448852539,31.3661670684814",2015,López-Toledo e Ibarra-Manríquez,http://geoportal.conabio.gob.mx/#!l=fma037dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fma037dpgw.zip
29832ANGIO,fma052dpgw,dp_01g,"-108.208333333258,7.16666666670812,-77.1434076901127,25.375000000104",2020,Vaca,http://geoportal.conabio.gob.mx/#!l=fma052dpgw:1,http://www.conabio.gob.mx/informacion/gis/maps/geo/fma052dpgw.zip
