sp,prioridad,Reino,Divisionphylum,Clase,Orden,Familia,genero,especie,sub_sp,idCAT,CategoriaTaxonomica_idCAT,mapa,styler,boubox,clave,anio,autor
"Sigmodon hirsutus",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Sigmodon","hirsutus",,"18842MAMIF","especie","sig_hirsgw","mamiferos_ds006","minx=14.537626 miny=-117.127803 maxx=32.717626 maxy=-86.727803","DS006","2006","Ceballos et al."
"Sigmodon hispidus",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Sigmodon","hispidus",,"11679MAMIF","especie","sighispi_agw","mamiferos_ds006","minx=14.5376253128052 miny=-115.607810974121 maxx=32.7176284790039 maxy=-86.7277984619141","DS006","2006","Ceballos et al."
"Sigmodon leucotis",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Sigmodon","leucotis",,"11794MAMIF","especie","sigleuco_agw","mamiferos_ds006","minx=16.6776256561279 miny=-107.447807312012 maxx=27.1376266479492 maxy=-96.4077987670898","DS006","2006","Ceballos et al."
"Sigmodon mascotensis",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Sigmodon","mascotensis",,"11893MAMIF","especie","sigmasco_agw","mamiferos_ds006","minx=15.6576261520386 miny=-105.687805175781 maxx=21.1376266479492 maxy=-93.5777969360352","DS006","2006","Ceballos et al."
"Sigmodon ochrognathus",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Sigmodon","ochrognathus",,"12106MAMIF","especie","sigochro_agw","mamiferos_ds006","minx=24.2076244354248 miny=-111.727806091309 maxx=31.7876262664795 maxy=-101.527801513672","DS006","2006","Ceballos et al."
"Simarouba glauca",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Sapindales","Simaroubaceae","Simarouba","glauca",,"31638ANGIO","especie","dis_s_glaugw","arbol_trop","minx=15.480814 miny=-103.680433 maxx=21.400551 maxy=-86.839988",,"2005","Pennington y Sarukhán"
"Simira mexicana",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Rubiaceae","Simira","mexicana",,"31423ANGIO","especie","smex002dpgw","dp_01g","minx=14.5661697387695 miny=-116.01399230957 maxx=32.7321128845215 maxy=-90.3650054931641","JM002","2018","Dávila-Aranda et al."
"Simira salvadorensis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Rubiaceae","Simira","salvadorensis",,"31425ANGIO","especie","ssa002dpgw","dp_01g","minx=14.0033273696899 miny=-97.8600006103516 maxx=22.6446495056152 maxy=-86.4771194458008","JM002","2018","Dávila-Aranda et al."
"Simira salvadorensis",2.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Rubiaceae","Simira","salvadorensis",,"31425ANGIO","especie","dis_s_salvgw","arbol_trop","minx=15.680802 miny=-102.360398 maxx=21.400551 maxy=-87.240001",,"2005","Pennington y Sarukhán"
"Sinclairia caducifolia",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Sinclairia","caducifolia",,"44022ANGIO","especie","scad002dpgw","dp_01g","minx=14.5661697387695 miny=-116.01399230957 maxx=32.7321128845215 maxy=-90.3650054931641","JM002","2018","Dávila-Aranda et al."
"Sinclairia deppeana",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Sinclairia","deppeana",,"44718ANGIO","especie","sde013dpgw","dp_01g","minx=14.8654346466064 miny=-105.253036499023 maxx=25.7455406188965 maxy=-90.3638000488281","JM013","2015","Villaseñor et al."
"Siren intermedia",1.0000000000000000e+00,"Animalia","Chordata","Amphibia","Caudata","Sirenidae","Siren","intermedia",,"12927ANFIB","especie","sire_integw","poly_conabio_conabio_1p","minx=26.017626 miny=-98.967804 maxx=26.017626 maxy=-97.067802","DS009","2006","Ochoa-Ochoa et al."
"Sirystes sibilator",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Tyrannidae","Sirystes","sibilator",,"3163AVES","especie","ssib071dpgw","dp_01g","minx=7.233473777771 miny=-80.3222122192383 maxx=9.62347507476807 maxy=-77.2022018432617","JM071","2018","Navarro-Sigüenza et al."
"Sistrurus catenatus",1.0000000000000000e+00,"Animalia","Chordata","Reptilia","Squamata","Viperidae","Sistrurus","catenatus",,"1018REPTI","especie","sist_categw","poly_conabio_conabio_1p","minx=18.847626 miny=-97.107803 maxx=18.857626 maxy=-97.107803","DS009","2006","Ochoa-Ochoa et al."
"Sisyphus mexicanus",1.0000000000000000e+00,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Sisyphus","mexicanus",,"36468COLEO","especie","sme032dpgw","dp_01g","minx=7.66666650772095 miny=-105.033340454102 maxx=23.9333343505859 maxy=-80.4666595458984","JM032","2019","Lobo et al."
"Sisyphus submonticolus",1.0000000000000000e+00,"Animalia","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Sisyphus","submonticolus",,"36469COLEO","especie","ssu032dpgw","dp_01g","minx=18.0666656494141 miny=-107.133338928223 maxx=25.8166675567627 maxy=-97.5666656494141","JM032","2019","Lobo et al."
"Sitta canadensis",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","canadensis",,"13922AVES","especie","sci071dpgw","dp_01g","minx=24.217679977417 miny=-170.41325378418 maxx=60.6376838684082 maxy=-52.6532402038574","JM071","2018","Navarro-Sigüenza et al."
"Sitta canadensis",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","canadensis",,"13922AVES","especie","sitcan_invgw","poly_conabio_conabio_1p","minx=28.039586 miny=-151.019069 maxx=62.539586 maxy=-52.619069","AE023","2006","Peterson et al."
"Sitta canadensis",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","canadensis",,"13922AVES","especie","sitcan_vergw","poly_conabio_conabio_1p","minx=31.539586 miny=-161.319069 maxx=63.639586 maxy=-52.619069","AE023","2006","Peterson et al."
"Sitta carolinensis",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","carolinensis",,"13923AVES","especie","sca071dpgw","dp_01g","minx=17.4103260040283 miny=-126.577239990234 maxx=55.6903305053711 maxy=-60.3972358703613","JM071","2018","Navarro-Sigüenza et al."
"Sitta carolinensis",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","carolinensis",,"13923AVES","especie","sitt_carogw","poly_conabio_conabio_1p","minx=15.81136 miny=-116.943229 maxx=32.62136 maxy=-94.883229","CE015","2007","Navarro y Peterson"
"Sitta carolinensis",3.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","carolinensis",,"13923AVES","especie","sit_cagw","aves_ce007","minx=15.919532 miny=-116.360413 maxx=32.399532 maxy=-95.150413","CE007","2006","Gómez de Silva"
"Sitta pygmaea",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","pygmaea",,"13924AVES","especie","spy071dpgw","dp_01g","minx=18.5098171234131 miny=-123.848106384277 maxx=50.6298179626465 maxy=-96.7481002807617","JM071","2018","Navarro-Sigüenza et al."
"Sitta pygmaea",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","pygmaea",,"13924AVES","especie","sitt_pygmgw","poly_conabio_conabio_1p","minx=18.30136 miny=-116.943229 maxx=32.61136 maxy=-96.623229","CE015","2007","Navarro y Peterson"
"Sittasomus griseicapillus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Furnariidae","Sittasomus","griseicapillus",,"13753AVES","especie","sgr071dpgw","dp_01g","minx=7.22012186050415 miny=-105.135192871094 maxx=23.4001235961914 maxy=-77.1951904296875","JM071","2018","Navarro-Sigüenza et al."
"Sittasomus griseicapillus",2.0000000000000000e+00,"Animalia","Chordata","Aves","Passeriformes","Furnariidae","Sittasomus","griseicapillus",,"13753AVES","especie","sitt_grisgw","poly_conabio_conabio_1p","minx=14.71136 miny=-105.673229 maxx=23.85136 maxy=-86.743229","CE015","2007","Navarro y Peterson"
"Skiffia lermae",1.0000000000000000e+00,"Animalia","Chordata","Osteichthyes","Cyprinodontiformes","Goodeidae","Skiffia","lermae",,"8094PECES","especie","sle017dpgw","dp_01v","minx=19.3973426818848 miny=-102.730133056641 maxx=22.9640102386475 maxy=-98.0217971801758","JM017","2017","Domínguez-Domínguez y Ortega-Rodríguez"
"Skiffia multipunctata",1.0000000000000000e+00,"Animalia","Chordata","Osteichthyes","Cyprinodontiformes","Goodeidae","Skiffia","multipunctata",,"8095PECES","especie","smu017dpgw","dp_01v","minx=17.0689086914062 miny=-105.45686340332 maxx=23.4272422790527 maxy=-97.3651962280273","JM017","2017","Domínguez-Domínguez y Ortega-Rodríguez"
"Sloanea medusula",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Oxalidales","Elaeocarpaceae","Sloanea","medusula",,"33287ANGIO","especie","dis_s_medugw","arbol_trop","minx=17.000741 miny=-97.040262 maxx=19.320634 maxy=-90.920098",,"2005","Pennington y Sarukhán"
"Smallanthus macvaughii",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Smallanthus","macvaughii",,"46446ANGIO","especie","sma013dpgw","dp_01g","minx=18.6840267181396 miny=-106.698097229004 maxx=23.5461387634277 maxy=-96.5103759765625","JM013","2015","Villaseñor et al."
"Smilisca baudinii",1.0000000000000000e+00,"Animalia","Chordata","Amphibia","Anura","Hylidae","Smilisca","baudinii",,"12670ANFIB","especie","smil_baudgw","poly_conabio_conabio_1p","minx=14.537626 miny=18.847626 maxx=26.387627 maxy=18.847626","DS009","2006","Ochoa-Ochoa et al."
"Smilisca cyanosticta",1.0000000000000000e+00,"Animalia","Chordata","Amphibia","Anura","Hylidae","Smilisca","cyanosticta",,"12671ANFIB","especie","smil_cyangw","poly_conabio_conabio_1p","minx=16.577625 miny=-96.747803 maxx=18.657627 maxy=-90.907806","DS009","2006","Ochoa-Ochoa et al."
"Smilisca dentata",1.0000000000000000e+00,"Animalia","Chordata","Amphibia","Anura","Hylidae","Smilisca","dentata",,"12672ANFIB","especie","sde022dpgw","dp_01v","minx=18.0976066589355 miny=-106.006134033203 maxx=25.5677604675293 maxy=-98.0226898193359","JM022","2016","Ochoa-Ochoa y Flores-Villela"
"Smilisca dentata",2.0000000000000000e+00,"Animalia","Chordata","Amphibia","Anura","Hylidae","Smilisca","dentata",,"12672ANFIB","especie","smil_dentgw","poly_conabio_conabio_1p","minx=21.297626 miny=-102.607803 maxx=21.907627 maxy=-101.797806","DS009","2006","Ochoa-Ochoa et al."
"Smilisca fodiens",1.0000000000000000e+00,"Animalia","Chordata","Amphibia","Anura","Hylidae","Smilisca","fodiens",,"12673ANFIB","especie","smil_fodigw","poly_conabio_conabio_1p","minx=18.767626 miny=-112.3778 maxx=31.397627 maxy=-101.047806","DS009","2006","Ochoa-Ochoa et al."
"Smithiantha zebrina",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Lamiales","Gesneriaceae","Smithiantha","zebrina",,"33595ANGIO","especie","sze013dpgw","dp_01g","minx=15.9841032028198 miny=-105.253471374512 maxx=25.7475986480713 maxy=-94.7355499267578","JM013","2015","Villaseñor et al."
"Sobralia decora",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Sobralia","decora",,"25026ANGIO","especie","sde061dpgw","dp_01v","minx=-3.31905174255371 miny=-102.233093261719 maxx=19.1309509277344 maxy=-75.5414123535156","JM061","2015","Damon y Bertolini"
"Sobralia galeottiana",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Sobralia","galeottiana",,"25029ANGIO","especie","sga013dpgw","dp_01g","minx=15.8962707519531 miny=-106.698211669922 maxx=23.5460624694824 maxy=-94.7355499267578","JM013","2015","Villaseñor et al."
"Sobralia macrantha",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Sobralia","macrantha",,"25032ANGIO","especie","sma061dpgw","dp_01v","minx=9.76408576965332 miny=-103.488494873047 maxx=24.4557552337646 maxy=-83.5384902954102","JM061","2015","Damon y Bertolini"
"Soliva sessilis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Soliva","sessilis",,"78065ANGIO","especie","sse_presentgw","invasoras","minx=14.5340050259999 miny=-117.5 maxx=32.7173393079177 maxy=-86.708331727","00089333","2016","Martínez-Meyer et al."
"Soliva sessilis",2.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Soliva","sessilis",,"78065ANGIO","especie","sse_50r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Soliva sessilis",3.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Soliva","sessilis",,"78065ANGIO","especie","sse_50r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Soliva sessilis",4.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Soliva","sessilis",,"78065ANGIO","especie","sse_70r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Soliva sessilis",5.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asterales","Asteraceae","Soliva","sessilis",,"78065ANGIO","especie","sse_70r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Sommera arborescens",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Rubiaceae","Sommera","arborescens",,"31426ANGIO","especie","sar002dpgw","dp_01g","minx=14.5661697387695 miny=-106.972465515137 maxx=24.4657745361328 maxy=-90.3647842407227","JM002","2018","Dávila-Aranda et al."
"Sommera chiapensis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Rubiaceae","Sommera","chiapensis",,"31427ANGIO","especie","sch002dpgw","dp_01g","minx=14.0499992370605 miny=-94.8100051879883 maxx=18.5414886474609 maxy=-86.3686676025391","JM002","2018","Dávila-Aranda et al."
"Sommera grandis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Rubiaceae","Sommera","grandis",,"31429ANGIO","especie","sgr002dpgw","dp_01g","minx=14.5661697387695 miny=-116.01399230957 maxx=32.7321128845215 maxy=-90.3650054931641","JM002","2018","Dávila-Aranda et al."
"Sommera guatemalensis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Gentianales","Rubiaceae","Sommera","guatemalensis",,"31430ANGIO","especie","sgu002dpgw","dp_01g","minx=14.0033273696899 miny=-97.8600006103516 maxx=22.6446495056152 maxy=-86.4771194458008","JM002","2018","Dávila-Aranda et al."
"Sonora aemula",1.0000000000000000e+00,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Sonora","aemula",,"1317REPTI","especie","sono_aemmgw","poly_conabio_conabio_1p","minx=26.897627 miny=-108.937805 maxx=27.047626 maxy=-108.677803","DS009","2006","Ochoa-Ochoa et al."
"Sorex arizonae",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","arizonae",,"11179MAMIF","especie","sar044dpgw","dp_01g","minx=22.8676109313965 miny=-111.64013671875 maxx=33.5342788696289 maxy=-104.315132141113","JM044","2016","Sánchez-Cordero et al."
"Sorex emarginatus",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","emarginatus",,"11486MAMIF","especie","sem053dpgw","dp_01g","minx=17.9301490783691 miny=-109.161888122559 maxx=29.7380123138428 maxy=-98.0206604003906","JM053","2016","Ballesteros-Barrera et al."
"Sorex emarginatus",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","emarginatus",,"11486MAMIF","especie","soremarg_agw","mamiferos_ds006","minx=19.4076251983643 miny=-105.397804260254 maxx=25.0576267242432 maxy=-99.7177963256836","DS006","2006","Ceballos et al."
"Sorex ixtlanensis",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","ixtlanensis",,"19362MAMIF","especie","six011dpgw","dp_01g","minx=15.8700571060181 miny=-101.657600402832 maxx=18.5533866882324 maxy=-95.0492706298828","JM011","2019","Lavariega y Briones-Salas"
"Sorex ixtlanensis",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","ixtlanensis",,"19362MAMIF","especie","six044dpgw","dp_01g","minx=16.8407649993896 miny=-100.666801452637 maxx=19.1490993499756 maxy=-95.6251220703125","JM044","2016","Sánchez-Cordero et al."
"Sorex macrodon",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","macrodon",,"11846MAMIF","especie","sma055dpgw","dp_01g","minx=15.6415605545044 miny=-101.000839233398 maxx=21.999641418457 maxy=-95.0010757446289","JM055","2014","Escalante-Espinosa y Gámez-Tamariz"
"Sorex macrodon",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","macrodon",,"11846MAMIF","especie","sma053dpgw","dp_01g","minx=15.9768466949463 miny=-100.650077819824 maxx=22.2849292755127 maxy=-93.7253494262695","JM053","2016","Ballesteros-Barrera et al."
"Sorex macrodon",3.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","macrodon",,"11846MAMIF","especie","sormacro_agw","mamiferos_ds006","minx=18.3776245117188 miny=-97.5478057861328 maxx=19.9176273345947 maxy=-96.8178024291992","DS006","2006","Ceballos et al."
"Sorex mediopua",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","mediopua",,"18770MAMIF","especie","sme044dpgw","dp_01g","minx=18.3060569763184 miny=-105.457939147949 maxx=21.839391708374 maxy=-96.9662628173828","JM044","2016","Sánchez-Cordero et al."
"Sorex milleri",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","milleri",,"11984MAMIF","especie","smi044dpgw","dp_01g","minx=19.8758373260498 miny=-102.380432128906 maxx=27.0675067901611 maxy=-97.8637619018555","JM044","2016","Sánchez-Cordero et al."
"Sorex milleri",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","milleri",,"11984MAMIF","especie","smi053dpgw","dp_01g","minx=21.0725212097168 miny=-103.104148864746 maxx=26.397310256958 maxy=-97.6460266113281","JM053","2016","Ballesteros-Barrera et al."
"Sorex milleri",3.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","milleri",,"11984MAMIF","especie","sormille_agw","mamiferos_ds006","minx=24.7276248931885 miny=-102.387809753418 maxx=28.317626953125 maxy=-99.997802734375","DS006","2006","Ceballos et al."
"Sorex monticolus",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","monticolus",,"12009MAMIF","especie","smo044dpgw","dp_01g","minx=22.8729286193848 miny=-166.180862426758 maxx=69.6979370117188 maxy=-97.8391876220703","JM044","2016","Sánchez-Cordero et al."
"Sorex monticolus",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","monticolus",,"12009MAMIF","especie","smo053dpgw","dp_01g","minx=21.3377895355225 miny=-111.583473205566 maxx=31.4957180023193 maxy=-100.883895874023","JM053","2016","Ballesteros-Barrera et al."
"Sorex monticolus",3.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","monticolus",,"12009MAMIF","especie","sormonti_agw","mamiferos_ds006","minx=22.7676258087158 miny=-109.33780670166 maxx=28.7976264953613 maxy=-104.597801208496","DS006","2006","Ceballos et al."
"Sorex oreopolus",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","oreopolus",,"12123MAMIF","especie","sor044dpgw","dp_01g","minx=18.3060569763184 miny=-103.50414276123 maxx=20.2227249145508 maxy=-96.9708023071289","JM044","2016","Sánchez-Cordero et al."
"Sorex oreopolus",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","oreopolus",,"12123MAMIF","especie","sor053dpgw","dp_01g","minx=15.9808712005615 miny=-105.695465087891 maxx=25.6804847717285 maxy=-95.079216003418","JM053","2016","Ballesteros-Barrera et al."
"Sorex oreopolus",3.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","oreopolus",,"12123MAMIF","especie","sororeop_agw","mamiferos_ds006","minx=18.8976249694824 miny=-103.187805175781 maxx=21.8076267242432 maxy=-97.0077972412109","DS006","2006","Ceballos et al."
"Sorex ornatus",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","ornatus",,"12133MAMIF","especie","sorn044dpgw","dp_01g","minx=22.8754444122314 miny=-123.336372375488 maxx=42.3587837219238 maxy=-109.419700622559","JM044","2016","Sánchez-Cordero et al."
"Sorex saussurei",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","saussurei",,"12300MAMIF","especie","ssa044dpgw","dp_01g","minx=17.8584270477295 miny=-105.457939147949 maxx=21.8417625427246 maxy=-96.7079315185547","JM044","2016","Sánchez-Cordero et al."
"Sorex saussurei",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","saussurei",,"12300MAMIF","especie","ssa053dpgw","dp_01g","minx=14.537672996521 miny=-109.161888122559 maxx=29.0120944976807 maxy=-89.7709884643555","JM053","2016","Ballesteros-Barrera et al."
"Sorex saussurei",3.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","saussurei",,"12300MAMIF","especie","sorsauss_agw","mamiferos_ds006","minx=15.2776260375977 miny=-105.547805786133 maxx=25.6176280975342 maxy=-91.7378005981445","DS006","2006","Ceballos et al."
"Sorex ventralis",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","ventralis",,"12475MAMIF","especie","sve044dpgw","dp_01g","minx=15.9808712005615 miny=-103.50414276123 maxx=20.2225399017334 maxy=-95.0791320800781","JM044","2016","Sánchez-Cordero et al."
"Sorex ventralis",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","ventralis",,"12475MAMIF","especie","sve055dpgw","dp_01g","minx=15.6415605545044 miny=-100.000885009766 maxx=20.9996814727783 maxy=-94.0011138916016","JM055","2014","Escalante-Espinosa y Gámez-Tamariz"
"Sorex ventralis",3.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","ventralis",,"12475MAMIF","especie","sve011dpgw","dp_01g","minx=15.8700532913208 miny=-105.557411193848 maxx=25.6950511932373 maxy=-95.049072265625","JM011","2019","Lavariega y Briones-Salas"
"Sorex ventralis",4.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","ventralis",,"12475MAMIF","especie","sve053dpgw","dp_01g","minx=15.6565828323364 miny=-102.296653747559 maxx=22.9646244049072 maxy=-93.7136611938477","JM053","2016","Ballesteros-Barrera et al."
"Sorex ventralis",5.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","ventralis",,"12475MAMIF","especie","sorventr_agw","mamiferos_ds006","minx=16.4676246643066 miny=-98.3578109741211 maxx=20.5176277160645 maxy=-95.7577972412109","DS006","2006","Ceballos et al."
"Sorex veraecrucis",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","veraecrucis",,"18771MAMIF","especie","sver044dpgw","dp_01g","minx=14.5465087890625 miny=-109.432746887207 maxx=30.8881778717041 maxy=-90.3744049072266","JM044","2016","Sánchez-Cordero et al."
"Sorex veraepacis",1.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","veraepacis",,"12481MAMIF","especie","svera044dpgw","dp_01g","minx=13.7373008728027 miny=-101.747680664062 maxx=21.9873027801514 maxy=-88.247673034668","JM044","2016","Sánchez-Cordero et al."
"Sorex veraepacis",2.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","veraepacis",,"12481MAMIF","especie","sver011dpgw","dp_01g","minx=7.85460329055786 miny=-105.557411193848 maxx=24.5545978546143 maxy=-77.6074142456055","JM011","2019","Lavariega y Briones-Salas"
"Sorex veraepacis",3.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","veraepacis",,"12481MAMIF","especie","sver053dpgw","dp_01g","minx=14.533989906311 miny=-105.695465087891 maxx=21.6587066650391 maxy=-90.3710708618164","JM053","2016","Ballesteros-Barrera et al."
"Sorex veraepacis",4.0000000000000000e+00,"Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","Sorex","veraepacis",,"12481MAMIF","especie","sorverae_agw","mamiferos_ds006","minx=15.0676259994507 miny=-99.0778045654297 maxx=17.5476264953613 maxy=-91.3977966308594","DS006","2006","Ceballos et al."
"Specklinia brighamii",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Specklinia","brighamii",,"57390ANGIO","especie","sbr061dpgw","dp_01v","minx=1.45395088195801 miny=-102.233093261719 maxx=19.1289520263672 maxy=-76.1914138793945","JM061","2015","Damon y Bertolini"
"Specklinia fuegi",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Specklinia","fuegi",,"57391ANGIO","especie","sfu061dpgw","dp_01v","minx=9.76408576965332 miny=-95.4076385498047 maxx=18.7140884399414 maxy=-83.5326309204102","JM061","2015","Damon y Bertolini"
"Specklinia glandulosa",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Specklinia","glandulosa",,"36600ANGIO","especie","sgl061dpgw","dp_01v","minx=7.20570659637451 miny=-93.9441299438477 maxx=16.6140422821045 maxy=-77.6524505615234","JM061","2015","Damon y Bertolini"
"Specklinia marginata",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Specklinia","marginata",,"57392ANGIO","especie","smar061dpgw","dp_01v","minx=-16.0733528137207 miny=-97.163459777832 maxx=21.5433177947998 maxy=-34.9801139831543","JM061","2015","Damon y Bertolini"
"Specklinia segregatifolia",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Specklinia","segregatifolia",,"57609ANGIO","especie","sse061dpgw","dp_01v","minx=7.20570659637451 miny=-97.163459777832 maxx=19.130708694458 maxy=-79.8801116943359","JM061","2015","Damon y Bertolini"
"Specklinia spectabilis",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Asparagales","Orchidaceae","Specklinia","spectabilis",,"231893ANGIO","especie","ssp061dpgw","dp_01v","minx=1.45395088195801 miny=-102.233093261719 maxx=19.1289520263672 maxy=-76.1914138793945","JM061","2015","Damon y Bertolini"
