sp,prioridad,Reino,Divisionphylum,Clase,Orden,Familia,genero,especie,sub_sp,idCAT,CategoriaTaxonomica_idCAT,mapa,styler,boubox,clave,anio,autor
"Aedes aegypti",3.0000000000000000e+00,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti",,"3577DIPTE","especie","aae040dpgmgw","dp_01v","minx=14.5622415542603 miny=-94.1409606933594 maxx=21.6038818359375 maxy=-86.7493133544922","LI040","2018","Moo-Llanes et al."
"Aedes albopictus",1.0000000000000000e+00,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","albopictus",,"3607DIPTE","especie","aal040dpmgw","dp_rangov","minx=14.5622406005859 miny=-94.1409606933594 maxx=21.6038818359375 maxy=-86.7493133544922","LI040","2018","Moo-Llanes et al."
"Aedes albopictus",2.0000000000000000e+00,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","albopictus",,"3607DIPTE","especie","aal040dpggw","dp_rangov","minx=14.5539083480835 miny=-94.1409606933594 maxx=21.6122150421143 maxy=-86.7493133544922","LI040","2018","Moo-Llanes et al."
"Aedes albopictus",3.0000000000000000e+00,"Animalia","Arthropoda","Insecta","Diptera","Culicidae","Aedes","albopictus",,"3607DIPTE","especie","aal040dpgmgw","dp_01v","minx=14.5622415542603 miny=-94.1409606933594 maxx=21.6038818359375 maxy=-86.7493133544922","LI040","2018","Moo-Llanes et al."
"Aegilops cylindrica",1.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Poales","Poaceae","Aegilops","cylindrica",,"38317ANGIO","especie","acy_presentgw","invasoras","minx=14.5340050259999 miny=-117.5 maxx=32.7173393079177 maxy=-86.708331727","00089333","2016","Martínez-Meyer et al."
"Aegilops cylindrica",2.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Poales","Poaceae","Aegilops","cylindrica",,"38317ANGIO","especie","acy_50r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Aegilops cylindrica",3.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Poales","Poaceae","Aegilops","cylindrica",,"38317ANGIO","especie","acy_50r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Aegilops cylindrica",4.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Poales","Poaceae","Aegilops","cylindrica",,"38317ANGIO","especie","acy_70r45mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Aegilops cylindrica",5.0000000000000000e+00,"Plantae","Tracheophyta","Equisetopsida","Poales","Poaceae","Aegilops","cylindrica",,"38317ANGIO","especie","acy_70r85mdgw","invasoras","minx=14.534005026 miny=-117.5 maxx=32.7173383595301 maxy=-86.7083333329999","00089333","2016","Martínez-Meyer et al."
"Aegolius acadicus",1.0000000000000000e+00,"Animalia","Chordata","Aves","Strigiformes","Strigidae","Aegolius","acadicus",,"14221AVES","especie","aac071dpgw","dp_01g","minx=16.4903755187988 miny=-108.552215576172 maxx=29.5303783416748 maxy=-95.7122039794922","JM071","2018","Navarro-Sigüenza et al."
